titre,lien,date_edition,date_limite
Secrétaire Comptable (Stage de 3 mois renouvelable),https://emploi.educarriere.ci/offre-141509-secretaire-comptable-stage-de-3-mois-renouvelable.html,26/11/2025,24/12/2025
Cadreur·se - Monteur·se Vidéo,https://emploi.educarriere.ci/offre-141508-cadreur?se-monteur?se-video.html,26/11/2025,04/12/2025
UN (E) RESPONSABLE JURIDIQUE ET DES RESSOURCES HUMAINES,https://emploi.educarriere.ci/offre-141507-un-e-responsable-juridique-et-des-ressources-humaines.html,26/11/2025,08/12/2025
Chef d’Équipe Hygiène – Entreprise de Transformation d...,https://emploi.educarriere.ci/offre-141506-chef-d-equipe-hygiene-entreprise-de-transformation-de-feves.html,26/11/2025,08/12/2025
UN (E) DIRECTEUR(TRICE) COMMERCIAL(E),https://emploi.educarriere.ci/offre-141505-un-e-directeurtrice-commerciale.html,26/11/2025,08/12/2025
SECRETAIRE COMMERCIALE (STAGE ECOLE),https://emploi.educarriere.ci/offre-141504-secretaire-commerciale-stage-ecole.html,26/11/2025,08/12/2025
COMMERCIAL,https://emploi.educarriere.ci/offre-141502-commercial.html,26/11/2025,08/12/2025
TECHNICIEN CLIMATISATION,https://emploi.educarriere.ci/offre-141501-technicien-climatisation.html,26/11/2025,08/12/2025
TECHNICIEN FROID,https://emploi.educarriere.ci/offre-141500-technicien-froid.html,26/11/2025,15/12/2025
Assistant(e) Prélèvements Sociaux & Fiscaux – Portefeuil...,https://emploi.educarriere.ci/offre-141499-assistante-prelevements-sociaux-fiscaux-portefeuille-clients-h-f.html,26/11/2025,15/12/2025
DEVELOPPEUR FULLSTACK SENIOR,https://emploi.educarriere.ci/offre-141498-developpeur-fullstack-senior.html,26/11/2025,14/12/2025
TECHNICIEN SUPÉRIEUR,https://emploi.educarriere.ci/offre-141497-technicien-superieur.html,26/11/2025,31/12/2025
CONTROLEUR CUISINE,https://emploi.educarriere.ci/offre-141496-controleur-cuisine.html,26/11/2025,10/12/2025
STAGIAIRE COMMERCIAL BILINGUE,https://emploi.educarriere.ci/offre-141495-stagiaire-commercial-bilingue.html,26/11/2025,08/12/2025
COUTURIER / TAILLEUR,https://emploi.educarriere.ci/offre-141494-couturier-tailleur.html,26/11/2025,31/12/2025
SECRÉTAIRE STAGIAIRE,https://emploi.educarriere.ci/offre-141493-secretaire-stagiaire.html,26/11/2025,08/12/2025
CHEF DE PROJET,https://emploi.educarriere.ci/offre-141492-chef-de-projet.html,26/11/2025,31/12/2025
CALL CENTER POUR TELETRAVAIL,https://emploi.educarriere.ci/offre-141491-teletravail-call-center.html,26/11/2025,11/12/2025
CHEF CHANTIER,https://emploi.educarriere.ci/offre-141490-chef-chantier.html,26/11/2025,08/12/2025
TOPOGRAPHE,https://emploi.educarriere.ci/offre-141489-topographe.html,26/11/2025,08/12/2025
STAGIAIRE,https://emploi.educarriere.ci/offre-141488-stagiaire.html,26/11/2025,16/12/2025
TELETRAVAIL  CALL CENTER,https://emploi.educarriere.ci/offre-141487-teletravail-call-center.html,26/11/2025,11/12/2025
ASSISTANTE,https://emploi.educarriere.ci/offre-141486-assistante.html,26/11/2025,12/12/2025
Chauffeurs VIP CLASSIC,https://emploi.educarriere.ci/offre-141485-chauffeurs-vip-classic.html,26/11/2025,08/12/2025
STAGIAIRE TECHNICIEN ADDUCTION EAU POTABLE,https://emploi.educarriere.ci/offre-141594-stagiaire-technicien-adduction-eau-potable.html,27/11/2025,27/12/2025
COMPTABLE AGUERRI,https://emploi.educarriere.ci/offre-141593-comptable-aguerri.html,27/11/2025,08/12/2025
OFFRE D’EMPLOI (STAGE DE QUALIFICATION PROFESSIONNELLE) : ...,https://emploi.educarriere.ci/offre-141592-offre-d-emploi-stage-de-qualification-professionnelle-agent-de-securite-privee-vigile.html,27/11/2025,15/12/2025
OFFRE DE STAGE – AGENT DE SÉCURITÉ INCENDIE,https://emploi.educarriere.ci/offre-141591-offre-de-stage-agent-de-securite-incendie.html,27/11/2025,15/12/2025
COMMERCIAL,https://emploi.educarriere.ci/offre-141590-commercial.html,27/11/2025,08/12/2025
COMPTABLE AGUERRI,https://emploi.educarriere.ci/offre-141589-comptable-aguerri.html,27/11/2025,08/12/2025
TECHNICIEN FIBRE OPTIQUE (DÉPLOIEMENT & RACCORDEMENT RÉSEA...,https://emploi.educarriere.ci/offre-141588--128226-offre-d-emploi-technicien-fibre-optique-deploiement-raccordement-reseau.html,27/11/2025,31/12/2025
ASSISTANT ADMINISTRATIF,https://emploi.educarriere.ci/offre-141587-assistant-administratif.html,27/11/2025,15/12/2025
Mécanicien Industriel (H/F),https://emploi.educarriere.ci/offre-141586-mecanicien-industriel-h-f.html,27/11/2025,11/12/2025
TECHNICIEN SUPERIEUR EN ADDUCTION EAU POTABLE,https://emploi.educarriere.ci/offre-141585-technicien-superieur-en-adduction-eau-potable.html,27/11/2025,27/12/2025
GERANTE DE BOUTIQUE,https://emploi.educarriere.ci/offre-141584-gerante-de-boutique.html,27/11/2025,08/12/2025
COMMERCIAL(E) TERRAIN,https://emploi.educarriere.ci/offre-141583-commerciale-terrain.html,27/11/2025,08/12/2025
TECHNICIEN SUPERIEUR EN ADDUCTION EAU POTABLE,https://emploi.educarriere.ci/offre-141582-technicien-superieur-en-adduction-eau-potable.html,27/11/2025,27/12/2025
ELECTRICIEN RESEAU MOYENNE ET BASSE TENSION,https://emploi.educarriere.ci/offre-141581-electricien-reseau-moyenne-et-basse-tension.html,27/11/2025,27/12/2025
CHARGE D’ETUDES VRD (Ingénieur HYDRAULIQUE/ASSAINISSEMENT...,https://emploi.educarriere.ci/offre-141580-charge-d-etudes-vrd-ingenieur-hydraulique-assainissement.html,27/11/2025,10/12/2025
COMMERCIAL JUNIOR (H/F),https://emploi.educarriere.ci/offre-141578-commercial-junior-h-f.html,27/11/2025,13/12/2025
ASSISTANTE COMMERCIALE,https://emploi.educarriere.ci/offre-141577-assistante-commerciale.html,27/11/2025,08/12/2025
INGENIEUR GENIE CIVIL & STRUCTURE MÉTALLIQUE,https://emploi.educarriere.ci/offre-141576-ingenieur-genie-civil-structure-metallique.html,27/11/2025,08/12/2025
UN RESPONSABLE COMMERCIAL (H/F),https://emploi.educarriere.ci/offre-141575-un-responsable-commercial-h-f.html,27/11/2025,13/12/2025
COMPTABLE AGUERRI,https://emploi.educarriere.ci/offre-141574-comptable-aguerri.html,27/11/2025,08/12/2025
Responsable des ventes et du développement du marché,https://emploi.educarriere.ci/offre-141573-responsable-des-ventes-et-du-developpement-du-marche.html,27/11/2025,03/12/2025
JURISTE,https://emploi.educarriere.ci/offre-141572-juriste.html,27/11/2025,08/12/2025
TECHNICIENNE DE SURFACE,https://emploi.educarriere.ci/offre-141571-technicienne-de-surface.html,27/11/2025,08/12/2025
DÉLÉGUÉ MÉDICAL/ COMMERCIAL,https://emploi.educarriere.ci/offre-141570-delegue-medical-commercial.html,27/11/2025,08/12/2025
TECHNICIEN MAINTENANCIER,https://emploi.educarriere.ci/offre-141569-technicien-maintenancier.html,27/11/2025,28/11/2025
ÉCONOME,https://emploi.educarriere.ci/offre-141568-econome.html,27/11/2025,28/11/2025
CONSULTANT/FORMATEUR,https://emploi.educarriere.ci/offre-141567-consultant-formateur.html,27/11/2025,08/12/2025
INTERPRET,https://emploi.educarriere.ci/offre-141566-interpret.html,27/11/2025,30/12/2025
COMMUNITY MANAGER & CHARGÉ(E) DE COMMUNICATION,https://emploi.educarriere.ci/offre-141565-community-manager-chargee-de-communication.html,27/11/2025,31/12/2025
COMMERCIAL(E) (H/F),https://emploi.educarriere.ci/offre-141564-commerciale-h-f.html,27/11/2025,28/11/2025
TELECONSEILLER,https://emploi.educarriere.ci/offre-141563-teleconseiller.html,27/11/2025,08/12/2025
COMMERCIAL TERRAIN,https://emploi.educarriere.ci/offre-141562-commercial-terrain.html,27/11/2025,08/12/2025
STAGIAIRES RH / COMPTABLE / COMMERCIAL(E,https://emploi.educarriere.ci/offre-141561-stagiaires-rh-comptable-commerciale.html,27/11/2025,08/12/2025
COMPTABLE,https://emploi.educarriere.ci/offre-141560-comptable.html,27/11/2025,08/12/2025
Inspecteur / Superviseur QA/QC,https://emploi.educarriere.ci/offre-141558-inspecteur-superviseur-qa-qc.html,27/11/2025,08/12/2025
COMMERCIAL,https://emploi.educarriere.ci/offre-141557-commercial.html,27/11/2025,08/12/2025
ASSISTANTE DE DIRECTION,https://emploi.educarriere.ci/offre-141556-assistante-de-direction.html,27/11/2025,22/12/2025
ASSISTANCE RH,https://emploi.educarriere.ci/offre-141555-assistance-rh.html,27/11/2025,15/12/2025
COMPTABLE,https://emploi.educarriere.ci/offre-141554-comptable.html,27/11/2025,08/12/2025
ASSISTANT(E) DE DIRECTION,https://emploi.educarriere.ci/offre-141553-assistante-de-direction.html,27/11/2025,05/12/2025
